,Name,Company,Cosmetic_type,Recommendation_skin_type,Pimple_care,Recommendation_for_atopy,Price,Main_ingredient_1,Main_ingredient_2,Main_ingredient_3,Main_ingredient_4,Main_ingredient_5,Grade,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
1,어성초 77 수딩토너,아누아,skin tonner,sensitive,o,x,25000,병풀추출물,어성초추출물,글리세린,베타인,체이스트트리추출물,4.3,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
2,1025 독도 토너,라운드랩,skin tonner, dry,x,x,28000,알란토인,글리세린,펜틸렌글라이콜,부틸렌글라이콜,판테놀,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
3,아쿠아 오아시스 토너,에스네이처,skin tonner, dry,x,x,53000,알란토인,글리세린,베타인,부틸렌글라이콜,판테놀,4.7,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
4,다이브인 저분자 히알루론산 토너,토리든,skin tonner, dry,x,x,21000,알란토인,글리세린,베타인,부틸렌글라이콜,판테놀,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
5,어성초 추출물 토너,원씽,skin tonner, normal,o,x,18000,어성초추출물,핵산다이올,부틸렌글라이콜,,,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
6,캐모마일 약산성 토너,비플레인,skin tonner, normal,o,x,24000,병풀추출물,글리세린,캐모마일꽃추출물,부틸렌글라이콜,감초추출물,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
7,어성초 진정해 수분 토너,프리메이,skin tonner, dry,o,x,28000,티트리잎추출물,병풀추출물,녹차추출물,어성초추출물,글리세린,4.7,https://www.i-beautyleader.com/
8,에이시카 365 수분 진정 결 토너,에스트라,skin tonner,sensitive,x,x,30000,글리세린,판테놀,마데카소사이드,부틸렌글라이콜,스쿠알란,4.3,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
9,모이스춰라이징 로션,세타필, lotion, dry,x,x,24000,글리세린,판테놀,나이아신아마이드,해바라기씨오일,판토락톤,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
10,아토베리어 365 로션,에스트라, lotion, dry,x,x,31000,글리세린,스쿠알란,사이클로헥사실록세인,부틸렌글라이콜,폴리글리세릴,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
11,레드 블레미쉬 멀티 플루이드,닥터지, lotion, oily,x,x,95000,글리세린,나이아신아마이드,트라이아이소스테아린,사이클로헥사실록세인,세틸에틸헥사노에이트,4.1,https://brand.naver.com/dr-g
